transaction_id;transaction_type;transaction_amount;transaction_status;transaction_datetime;platform_id;invoice_id
TXN001;Pago de Factura;38940;Pendiente;2024-06-01 10:00:00;1;FAC7068
TXN002;Pago de Factura;75145;Pendiente;2024-07-09 12:00:00;2;FAC6577
TXN003;Pago de Factura;179217;Fallida;2024-06-13 10:00:00;2;FAC5707
TXN004;Pago de Factura;51767;Fallida;2024-07-26 13:00:00;2;FAC7188
TXN005;Pago de Factura;156501;Completada;2024-07-28 06:00:00;2;FAC7289
TXN006;Pago de Factura;32428;Completada;2024-07-16 21:00:00;1;FAC2190
TXN007;Pago de Factura;75301;Pendiente;2024-07-26 22:00:00;2;FAC6207
TXN008;Pago de Factura;16870;Pendiente;2024-06-17 16:00:00;1;FAC1691
TXN009;Pago de Factura;21794;Fallida;2024-07-10 23:00:00;1;FAC4680
TXN010;Pago de Factura;193307;Completada;2024-06-19 23:00:00;2;FAC8010
TXN011;Pago de Factura;159093;Completada;2024-06-01 06:00:00;2;FAC1328
TXN012;Pago de Factura;174518;Pendiente;2024-07-12 19:00:00;1;FAC8140
TXN013;Pago de Factura;110254;Fallida;2024-07-04 12:00:00;2;FAC4679
TXN014;Pago de Factura;162283;Pendiente;2024-07-12 04:00:00;1;FAC3589
TXN015;Pago de Factura;22161;Pendiente;2024-06-21 12:00:00;2;FAC6122
TXN016;Pago de Factura;195775;Pendiente;2024-07-08 12:00:00;2;FAC4870
TXN017;Pago de Factura;20824;Fallida;2024-06-27 03:00:00;1;FAC5322
TXN018;Pago de Factura;191134;Completada;2024-07-09 05:00:00;1;FAC8663
TXN019;Pago de Factura;62979;Completada;2024-06-16 20:00:00;2;FAC4380
TXN020;Pago de Factura;36472;Fallida;2024-06-08 22:00:00;2;FAC5128
TXN021;Pago de Factura;127881;Completada;2024-06-16 06:00:00;1;FAC7986
TXN022;Pago de Factura;26317;Fallida;2024-07-30 03:00:00;2;FAC7543
